,Datetime,Symbol,Open,High,Low,Close
0,2022-07-01 13:07:00,BTC,19174.6702255105,19179.1363714932,19169.2095496412,19176.8986907757
1,2022-07-01 13:08:00,BTC,19183.2976813241,19189.3661000161,19183.2976813241,19189.218982579
2,2022-07-01 13:09:00,BTC,19198.7319736485,19209.1768047571,19188.4865885573,19191.0707813653
3,2022-07-01 13:10:00,BTC,19187.5126011017,19187.5126902042,19175.4287238064,19179.7439064785
4,2022-07-01 13:11:00,BTC,19176.9792905119,19184.0669830666,19175.718267945,19184.0669830666
5,2022-07-01 13:12:00,BTC,19184.0595164936,19184.5773479526,19177.9229487885,19181.2555862995
6,2022-07-01 13:13:00,BTC,19181.1645370526,19183.5838560512,19176.1262613611,19183.5838560512
7,2022-07-01 13:14:00,BTC,19191.8536579019,19196.1185599148,19188.0171818777,19190.8223425772
8,2022-07-01 13:15:00,BTC,19190.8228714476,19208.1333937966,19189.0418918173,19198.0957649812
9,2022-07-01 13:16:00,BTC,19198.0361486225,19207.001424738,19193.6693720977,19201.8370148706
10,2022-07-01 13:17:00,BTC,19203.575504206,19257.6298646815,19199.6758895166,19239.6753361232
11,2022-07-01 13:18:00,BTC,19232.5774546703,19238.116938283,19212.4978805884,19214.2050980424
12,2022-07-01 13:19:00,BTC,19211.4278090093,19211.4278090093,19185.0492067115,19185.0566564665
13,2022-07-01 13:20:00,BTC,19183.8191190649,19184.3939489969,19129.093180304,19132.9198493049
14,2022-07-01 13:21:00,BTC,19131.607189371,19160.6431984876,19130.5547761066,19160.6431984876
15,2022-07-01 13:22:00,BTC,19160.2273262221,19187.4681721547,19160.2273262221,19167.2049140535
16,2022-07-01 13:23:00,BTC,19167.3076438916,19170.2405473358,19145.0641255298,19151.9224649112
17,2022-07-01 13:24:00,BTC,19154.2666584477,19161.872946321,19151.6755517634,19159.9630078499
18,2022-07-01 13:25:00,BTC,19159.50660277,19161.1342200762,19155.5685087259,19157.1919996912
19,2022-07-01 13:26:00,BTC,19157.1816165535,19169.5293152138,19156.4989407462,19168.3539148118
20,2022-07-01 13:27:00,BTC,19169.5153372027,19197.2949605658,19168.1249641835,19195.9982234295
21,2022-07-01 13:28:00,BTC,19196.0296848979,19240.9471436175,19196.0296848979,19230.7268318225
22,2022-07-01 13:29:00,BTC,19230.3052285707,19274.6483641836,19230.3052285707,19248.949137803
23,2022-07-01 13:30:00,BTC,19247.8230659565,19254.5278892258,19221.5545872618,19224.6221155666
24,2022-07-01 13:31:00,BTC,19224.6901619341,19234.6206499424,19214.0578362549,19234.6206499424
25,2022-07-01 13:32:00,BTC,19234.7067089341,19259.2767684929,19233.8684444213,19247.3930652702
26,2022-07-01 13:33:00,BTC,19247.3929926635,19276.7054039328,19247.3929926635,19276.7054039328
27,2022-07-01 13:34:00,BTC,19281.3518358843,19315.0337452649,19266.6842923792,19292.8999642884
28,2022-07-01 13:35:00,BTC,19293.2070442019,19294.7843818839,19266.8564802878,19267.2848783075
